timestamp;cpu;mem;disk;net_sent;net_recv
1765250536;17.4;28.5;6.1;140346121;153740614
1765250537;16.5;28.6;6.1;140469838;153792604
1765250538;17.3;28.6;6.1;140592155;153843866
1765250539;17;28.7;6.1;140679315;153894844
1765250540;16.9;28.8;6.1;140764958;153944979
1765250541;16.8;28.8;6.1;140842141;153995109
1765250542;17.1;28.8;6.1;140966191;154047037
1765250543;16.5;28.8;6.1;141088861;154098359
1765250544;17.7;28.8;6.1;141211611;154149621
1765250545;16.1;28.9;6.1;141335921;154201605
1765250546;16.9;29;6.1;141460356;154253234
1765250547;18.3;29;6.1;141630495;154351662
1765250549;17.3;29.1;6.1;141765806;154403729
1765250550;18.4;29.1;6.1;141889012;154455266
1765250551;17.8;29.1;6.1;141965140;154459430
1765250552;18.1;29.2;6.1;142088454;154510915
1765250553;17.8;29.2;6.1;142211776;154562065
1765250554;17.1;29.2;6.1;142335250;154612975
1765250555;16.9;29.2;6.1;142460388;154664938
1765250556;18.4;29.3;6.1;142584074;154716260
1765250557;17;29.3;6.1;142754874;154814628
1765250558;17.6;29.3;6.1;142831560;154818852
1765250559;17.4;29.3;6.1;142957036;154870692
1765250560;17.4;29.4;6.1;143081060;154921842
1765250561;17.9;29.4;6.1;143205087;154975233
1765250562;17.4;29.4;6.1;143330746;155027073
1765250564;17.3;29.5;6.1;143456485;155078643
1765250565;17.7;29.5;6.1;143627982;155177338
1765250566;17.8;29.5;6.1;143705243;155181442
1765250567;17.8;29.6;6.1;143829618;155232807
1765250568;17.8;29.6;6.1;143912980;155283289
1765250569;17.1;29.6;6.1;144029497;155334760
1765250570;18.9;29.6;6.1;144202777;155434191
1765250571;18;29.7;6.1;144281997;155438793
1765250572;20;29.7;6.1;144407059;155490175
1765250573;16.1;29.7;6.1;144533595;155542660
1765250574;19.4;29.7;6.1;144660158;155594638
1765250575;19.1;29.7;6.1;144785341;155645968
1765250576;17.5;29.7;6.1;144910565;155697573
1765250578;18.3;29.7;6.1;145035953;155748783
1765250579;17;29.7;6.1;145161349;155800113
1765250580;17.4;29.8;6.1;145296529;155852502
1765250581;18.1;29.8;6.1;145412225;155904069
1765250582;18.1;29.8;6.1;145531486;155955755
1765250583;18.4;29.8;6.1;145637306;156007097
1765250584;17.7;29.8;6.1;145741457;156059017
1765250585;17.3;29.9;6.1;145868885;156111034
1765250586;18;29.9;6.1;146042039;156209584
1765250587;17.1;29.9;6.1;146156602;156260959
1765250588;17.9;29.9;6.1;146244037;156265975
1765250589;17.4;29.9;6.1;146417449;156365888
1765250590;16;29.9;6.1;146496895;156369908
1765250592;15.2;29.9;6.1;146587085;156374265
1765250593;16.8;29.9;6.1;146669642;156378255
